sep=;
"Title: ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 12 Carbon steel compositions applicable to semifinished products for forging, hot-rolled and cold-finished bars, wire rods, and seamless tubing";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"UNS number";"SAE-AISI number";"Cast or heat 
chemical ranges 
and limits; C (a) (%)";"Cast or heat 
chemical ranges 
and limits; Mn (a) (%)";"Cast or heat 
chemical ranges 
and limits; P max (a) (%)";"Cast or heat 
chemical ranges 
and limits; S max (a) (%)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"G10530";"1053";"0.48-0.55";"0.70-1.00";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"G10550";"1055";"0.50-0.60";"0.60-0.90";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"G10590";"1059";"0.55-0.65";"0.50-0.80";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"G10600";"1060";"0.55-0.65";"0.60-0.90";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"G10640";"1064";"0.60-0.70";"0.50-0.80";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"G10650";"1065";"0.60-0.70";"0.60-0.90";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"G10690";"1069";"0.65-0.75";"0.40-0.70";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"G10700";"1070";"0.65-0.75";"0.60-0.90";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"G10740";"1074";"0.70-0.80";"0.50-0.80";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"G10750";"1075";"0.70-0.80";"0.40-0.70";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"G10780";"1078";"0.72-0.85";"0.30-0.60";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"G10800";"1080";"0.75-0.88";"0.60-0.90";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"G10840";"1084";"0.80-0.93";"0.60-0.90";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"G10850";"1085";"0.80-0.93";"0.70-1.00";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"G10860";"1086";"0.80-0.93";"0.30-0.50";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"G10900";"1090";"0.85-0.98";"0.60-0.90";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"G10950";"1095";"0.90-1.03";"0.30-0.50";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys © 1990 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
