sep=;
"Title: ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Thermal conductivities of carbon and low-alloy steels";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"AISI-SAE grade";"treatment or condition";"conductivity (a) at 
0°C (32°F) (W/(m K))";"conductivity (a) at 
100°C (212°F) (W/(m K))";"conductivity (a) at 
200°C (392°F) (W/(m K))";"conductivity (a) at 
300°C (572°F) (W/(m K))";"conductivity (a) at 
400°C (752°F) (W/(m K))";"conductivity (a) at 
500°C (932°F) (W/(m K))";"conductivity (a) at 
600°C (1112°F) (W/(m K))";"conductivity (a) at 
700°C (1292°F) (W/(m K))";"conductivity (a) at 
800°C (1472°F) (W/(m K))";"conductivity (a) at 
1000°C (1832°F) (W/(m K))";"conductivity (a) at 
1200°C (2192°F) (W/(m K))";"";"";"";"";"";"";"";"";"";"";"";""
"27";"1078";"Annealed";"47.8";"48.2";"45.2";"41.4";"38.1";"35.2";"32.7";"30.1";"24.3";"26.8";"30.1";"";"";"";"";"";"";"";"";"";"";"";""
"28";"1078";"Unknown";"49.6";"48.1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"1080";"Unknown";"50.5";"";"46.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"1086";"Unknown";"49.9";"48.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"1095";"Unknown";"";"46.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"1117";"Unknown";"51.9(b)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"1118";"Unknown";"51.5(b)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"1141";"Unknown";"";"50.5";"47.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"1151";"Unknown";"";"50.5";"47.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"1522";"Annealed";"51.9";"50.1";"48.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"1524";"Annealed";"51.9";"50.1";"48.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"1526";"Annealed";"51.9";"50.1";"48.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"1541";"Annealed";"51.9";"50.1";"48.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"1548";"Unknown";"50.5";"49";"48.3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"1551";"Annealed";"50.7";"49.3";"48.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"1561";"Annealed";"51.2";"49.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"1566";"Annealed";"51.2";"49.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"2515";"Unknown";"34.3(b)";"";"";"38.2(c)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"4037";"Hardened and tempered";"";"48.2";"45.6";"";"39.4";"";"33.9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"4130";"Hardened and tempered";"";"42.7";"";"40.6";"";"37.3";"";"31";"";"28.1";"30.1";"";"";"";"";"";"";"";"";"";"";"";""
"47";"4140";"Hardened and tempered";"";"42.7";"42.3";"";"37.7";"";"33.1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"4145";"Hardened and tempered";"41.8(b)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"4161";"Hardened and tempered";"42.7(b)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"4427";"Unknown";"36.8(b)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys © 1990 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
